research_stream,progress_bar,score,status,blocker,next_action
Epic build queue maps (05-07 / women centers),[████████░░░░░░░░░░░░],40,SCAFFOLDED,not filled with named women,epic_build_queue/
Story dev dashboard lane (/story-dev),[██████░░░░░░░░░░░░░░],32,MVP,JSON manual,story_dev_dashboard.json + app/story-dev/page.tsx
Alignment sweep 001,[██████░░░░░░░░░░░░░░],30,IN PROGRESS,first-pass inventories,writing/08_alignment_sweeps/alignment_sweep_001/
HI-003 lineage + raid verification,[████████████░░░░░░░░],60,IN PROGRESS,dates/spellings OPEN,human_inputs HI-003 + verification passes
D-002 timeline scope,[████████░░░░░░░░░░░░],40,BLOCKED / OPEN,compat with raid dating,decision_pass_01 D-002
Red River trade dossier,[████████░░░░░░░░░░░░],40,IN PROGRESS,specifics thin,spine_packet historical_worldbuilding
Binding / marriage cultural questions,[████████░░░░░░░░░░░░],40,IN PROGRESS,form not verified,research carefully notes not prose claims
Besson / Alexis / Francois threads,[████░░░░░░░░░░░░░░░░],20,SCAFFOLDED,sparse records,HI-006 + targeted packets
Books 06-07 Civil War / Reconstruction,[██░░░░░░░░░░░░░░░░░░],10,PLACEHOLDER,anchors missing,descendant + regional anchors
Book 08 Buford / Bobby,[████░░░░░░░░░░░░░░░░],20,HUMAN DIRECTION,documentation,records packet ethics
Book 09 contemporary,[████░░░░░░░░░░░░░░░░],20,HUMAN DIRECTION,living-person handling,neutral sourcing
Source hierarchy + chunk intake,[████████████░░░░░░░░],60,IN PROGRESS,sorting backlog,02_source_chunks intake
External verification pass,[██████████░░░░░░░░░░],50,IN PROGRESS,not closed,historical_verification external_pass_01
