symbol_motif,books,progress_bar,score,meaning,character_link,recurrence_plan,next_action
Cord / knot,01,[███████░░░░░░░░░░░░░],38,binding / continuity / women's teaching,granddaughter / matriarch,samples + braid V0,human review braid
River,01-09,[████████░░░░░░░░░░░░],42,power / route / memory / change,whole line,braid V0,keep non-thesis
Cloth / shawl,01,[███████░░░░░░░░░░░░░],35,preparation / binding / future,women,braid V0,research material culture
Smoke / fire,01,[█████░░░░░░░░░░░░░░░],25,labor / household / ordinary life,village women,braid V0,define non-doom guardrails
Trade objects,01-05,[████░░░░░░░░░░░░░░░░],22,outside pressure / exchange,matriarchs/traders,braid V0,dossier specificity
Child pocket-object,01,[██████░░░░░░░░░░░░░░],32,private child continuity,granddaughter,Sample 002 + braid,keep child-logical
Sassafras / filé (pre-gumbo),01,[█████░░░░░░░░░░░░░░░],28,plant knowledge women's knowledge memory,elder women / children,Book 01 braid + research lane,research/sassafras_gumbo/
Gumbo three-influences (series metaphor),01-09,[███░░░░░░░░░░░░░░░░░],18,layered inheritance Native/French/African,family / household,series_symbols/gumbo_three_influences_symbol.md,do not collapse origins
Food-as-memory (series),01-09,[████░░░░░░░░░░░░░░░░],22,food moves power + grief + continuity,women-centered kitchens,series_symbols/food_as_memory_symbol.md,scenes must do story work
Family recipe transmission,01-09,[███░░░░░░░░░░░░░░░░░],18,non-written law of ratios/timing,matrilineal teaching,series_symbols/family_recipe_transmission.md,tie to cord/knot pedagogy
Grappe gumbo Crash convergence model,01-09,[██░░░░░░░░░░░░░░░░░░],12,late-series collision staging,Book 09 emphasis,series_symbols/grappe_gumbo_crash_convergence_model.md,independent angles first
Missing arm / bodily survival,08,[██░░░░░░░░░░░░░░░░░░],10,survival / public persona,Buford,Book 08,verify history
